,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,United Nations,,,,,,,
,,,,Population Division,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,
,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2017",,,,,,,
,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,
,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2017
174,TFYR Macedonia,21,807,B,58.3,58.3,58.3,58.3,58.3,58.3,58.3
175,Western Europe,,926,,47.6,48.9,50.0,50.5,51.3,51.1,50.9
176,Austria,,40,B,53.6,52.7,52.0,52.2,52.3,52.0,52.0
177,Belgium,,56,C,46.1,47.1,48.0,48.9,49.2,49.2,49.2
178,France,,250,B,49.1,50.0,50.7,51.0,51.2,51.7,51.8
179,Germany,,276,B,44.5,47.8,49.9,50.3,50.6,50.7,50.2
180,Liechtenstein,,438,B,45.4,46.9,48.5,50.1,51.4,51.2,51.3
181,Luxembourg,,442,B,50.7,50.6,50.4,50.2,49.3,49.2,49.2
182,Monaco,,492,B,53.5,52.7,52.0,51.6,51.1,50.9,50.9
183,Netherlands,,528,B,49.9,50.4,50.8,51.4,51.9,52.3,52.2
184,Switzerland,,756,B,49.6,48.0,46.4,48.9,54.8,51.0,51.0
185,LATIN AMERICA AND THE CARIBBEAN,,904,,49.8,50.0,50.1,50.3,50.3,50.4,50.4
186,Caribbean,,915,,48.0,48.3,48.6,48.8,48.8,48.7,48.7
187,Anguilla,,660,B,51.1,52.2,53.0,52.8,52.7,52.6,52.6
188,Antigua and Barbuda,,28,B,52.0,54.2,55.3,55.3,55.4,55.4,55.4
189,Aruba,,533,B,55.5,55.2,55.1,55.3,55.4,55.4,55.5
190,Bahamas,,44,B,48.5,47.5,46.7,48.1,49.1,49.4,49.4
